Date,Stock,Volatility
2017-02-21,AXISBANK.NS,1.5816825254840812
2017-02-22,AXISBANK.NS,1.986542748552389
2017-02-23,AXISBANK.NS,2.1935574752708993
2017-02-27,AXISBANK.NS,2.107482644434868
2017-02-28,AXISBANK.NS,2.2556230570095765
2017-03-01,AXISBANK.NS,2.1673904814031273
2017-03-02,AXISBANK.NS,2.1052407182692527
2017-03-03,AXISBANK.NS,2.060389076969219
2017-03-06,AXISBANK.NS,2.00546776108775
2017-03-07,AXISBANK.NS,1.947649137624507
2017-03-08,AXISBANK.NS,1.9131750432794354
2017-03-09,AXISBANK.NS,1.846547792218223
2017-03-10,AXISBANK.NS,1.805736556671854
2017-03-14,AXISBANK.NS,1.7440512455537736
2017-03-15,AXISBANK.NS,1.710160454093095
2017-03-16,AXISBANK.NS,1.6546684277682369
2017-03-17,AXISBANK.NS,1.6049298421995204
2017-03-20,AXISBANK.NS,1.5647961551709175
2017-03-21,AXISBANK.NS,1.7015585198793033
2017-03-22,AXISBANK.NS,1.8299735030696211
2017-03-23,AXISBANK.NS,1.775245291428012
2017-03-24,AXISBANK.NS,1.7194607135474873
2017-03-27,AXISBANK.NS,1.663523685365107
2017-03-28,AXISBANK.NS,1.6182645336079373
2017-03-29,AXISBANK.NS,1.7737316035317705
2017-03-30,AXISBANK.NS,1.7141217036286451
2017-03-31,AXISBANK.NS,1.683408659247643
2017-04-03,AXISBANK.NS,1.6987431536496997
2017-04-05,AXISBANK.NS,1.719158034585038
2017-04-06,AXISBANK.NS,1.7059474557643906
2017-04-07,AXISBANK.NS,1.650734225766731
2017-04-10,AXISBANK.NS,1.6212651467421215
2017-04-11,AXISBANK.NS,1.6040494078397112
2017-04-12,AXISBANK.NS,1.5687316498505222
2017-04-13,AXISBANK.NS,1.6026247690603554
2017-04-17,AXISBANK.NS,1.5561010646012303
2017-04-18,AXISBANK.NS,1.5419786821831059
2017-04-19,AXISBANK.NS,1.5090589043312652
2017-04-20,AXISBANK.NS,1.4694189066583363
2017-04-21,AXISBANK.NS,1.5694106633665699
2017-04-24,AXISBANK.NS,1.5295912297749552
2017-04-25,AXISBANK.NS,1.6235772529626595
2017-04-26,AXISBANK.NS,1.8227999888622417
2017-04-27,AXISBANK.NS,1.7590690151005168
2017-04-28,AXISBANK.NS,1.7933513060304165
2017-05-02,AXISBANK.NS,1.7367057680552154
2017-05-03,AXISBANK.NS,1.6966348028453824
2017-05-04,AXISBANK.NS,1.6651133663271231
2017-05-05,AXISBANK.NS,1.8605886721104645
2017-05-08,AXISBANK.NS,1.950156925319359
2017-05-09,AXISBANK.NS,1.9052767024637765
2017-05-10,AXISBANK.NS,1.8661025528725745
2017-05-11,AXISBANK.NS,1.8409948505018572
2017-05-12,AXISBANK.NS,1.8466660877033763
2017-05-15,AXISBANK.NS,1.9303215411647234
2017-05-16,AXISBANK.NS,1.8678341098969655
2017-05-17,AXISBANK.NS,1.801445714528261
2017-05-18,AXISBANK.NS,1.7396918684625413
2017-05-19,AXISBANK.NS,1.785781049662248
2017-05-22,AXISBANK.NS,1.7945695746363373
2017-05-23,AXISBANK.NS,1.7328470645368517
2017-05-24,AXISBANK.NS,1.6798195824939406
2017-05-25,AXISBANK.NS,1.629467084995218
2017-05-26,AXISBANK.NS,1.6312309946968457
2017-05-29,AXISBANK.NS,1.5919542080671547
2017-05-30,AXISBANK.NS,1.5649750204838302
2017-05-31,AXISBANK.NS,1.5594281094841629
2017-06-01,AXISBANK.NS,1.5160737790134649
2017-06-02,AXISBANK.NS,1.5007193904387084
2017-06-05,AXISBANK.NS,1.4643031285749222
2017-06-06,AXISBANK.NS,1.4521329663889773
2017-06-07,AXISBANK.NS,1.4317181501274439
2017-06-08,AXISBANK.NS,1.4094386085337196
2017-06-09,AXISBANK.NS,1.3784358243157329
2017-06-12,AXISBANK.NS,1.3560022779531788
2017-06-13,AXISBANK.NS,1.3731459627656297
2017-06-14,AXISBANK.NS,1.3468316050913838
2017-06-15,AXISBANK.NS,1.3267159146334557
2017-06-16,AXISBANK.NS,1.3080539525636157
2017-06-19,AXISBANK.NS,1.2904339241591767
2017-06-20,AXISBANK.NS,1.3553948111183773
2017-06-21,AXISBANK.NS,1.4031608828087625
2017-06-22,AXISBANK.NS,1.3928434797830387
2017-06-23,AXISBANK.NS,1.3623529174188265
2017-06-27,AXISBANK.NS,1.3498657503120028
2017-06-28,AXISBANK.NS,1.4742738465200802
2017-06-29,AXISBANK.NS,1.4389033040354875
2017-06-30,AXISBANK.NS,1.7585369173818641
2017-07-03,AXISBANK.NS,1.7168787374739805
2017-07-04,AXISBANK.NS,1.661179576460992
2017-07-05,AXISBANK.NS,1.6804316931224705
2017-07-06,AXISBANK.NS,1.6476223391509675
2017-07-07,AXISBANK.NS,1.5967672646370838
2017-07-10,AXISBANK.NS,1.591088247059205
2017-07-11,AXISBANK.NS,1.57961143489223
2017-07-12,AXISBANK.NS,1.546048468551775
2017-07-13,AXISBANK.NS,1.5033480003613262
2017-07-14,AXISBANK.NS,1.4835428901736485
2017-07-17,AXISBANK.NS,1.4457286175283177
2017-07-18,AXISBANK.NS,1.4193171439129584
2017-07-19,AXISBANK.NS,1.415853802956981
2017-07-20,AXISBANK.NS,1.3925031156691097
2017-07-21,AXISBANK.NS,1.680214968190829
2017-07-24,AXISBANK.NS,1.6269391945541398
2017-07-25,AXISBANK.NS,1.6105240672099925
2017-07-26,AXISBANK.NS,1.6334805124578946
2017-07-27,AXISBANK.NS,1.780885916429142
2017-07-28,AXISBANK.NS,1.7367941844579278
2017-07-31,AXISBANK.NS,1.7558410325410823
2017-08-01,AXISBANK.NS,1.7103919149955362
2017-08-02,AXISBANK.NS,1.6662700803935435
2017-08-03,AXISBANK.NS,1.6140396291122778
2017-08-04,AXISBANK.NS,1.6730573133429671
2017-08-07,AXISBANK.NS,1.6223469765576124
2017-08-08,AXISBANK.NS,1.580451343699352
2017-08-09,AXISBANK.NS,1.576984652557422
2017-08-10,AXISBANK.NS,1.6816016199611665
2017-08-11,AXISBANK.NS,1.6317509241602186
2017-08-14,AXISBANK.NS,1.5948854638438366
2017-08-16,AXISBANK.NS,1.5502700470458872
2017-08-17,AXISBANK.NS,1.5567331891193297
2017-08-18,AXISBANK.NS,1.5206621881084157
2017-08-21,AXISBANK.NS,1.530121108572717
2017-08-22,AXISBANK.NS,1.5031087251906918
2017-08-23,AXISBANK.NS,1.478194127897311
2017-08-24,AXISBANK.NS,1.4489214057490265
2017-08-28,AXISBANK.NS,1.426896568676381
2017-08-29,AXISBANK.NS,1.4035960964968888
2017-08-30,AXISBANK.NS,1.4273670256561102
2017-08-31,AXISBANK.NS,1.3939662042008476
2017-09-01,AXISBANK.NS,1.3802985715305414
2017-09-04,AXISBANK.NS,1.3964526645363164
2017-09-05,AXISBANK.NS,1.4054875402455822
2017-09-06,AXISBANK.NS,1.3751104039604578
2017-09-07,AXISBANK.NS,1.4680999630341574
2017-09-08,AXISBANK.NS,1.4418192482667505
2017-09-11,AXISBANK.NS,1.4171453642901877
2017-09-12,AXISBANK.NS,1.3849508337219276
2017-09-13,AXISBANK.NS,1.3596139959682008
2017-09-14,AXISBANK.NS,1.337380296351279
2017-09-15,AXISBANK.NS,1.686957177440167
2017-09-18,AXISBANK.NS,1.6469525736685453
2017-09-19,AXISBANK.NS,1.6465684858956162
2017-09-20,AXISBANK.NS,1.611062636819689
2017-09-21,AXISBANK.NS,1.5658750133237669
2017-09-22,AXISBANK.NS,1.5685144072462114
2017-09-25,AXISBANK.NS,1.5766045696761193
2017-09-26,AXISBANK.NS,1.5466490615994308
2017-09-27,AXISBANK.NS,1.5893048050869776
2017-09-28,AXISBANK.NS,1.576186601734727
2017-09-29,AXISBANK.NS,1.5527977658583638
2017-10-03,AXISBANK.NS,1.518380857601444
2017-10-04,AXISBANK.NS,1.4775454467338447
2017-10-05,AXISBANK.NS,1.4569508234020685
2017-10-06,AXISBANK.NS,1.4480626160652967
2017-10-09,AXISBANK.NS,1.415486183142885
2017-10-10,AXISBANK.NS,1.3872884892330413
2017-10-11,AXISBANK.NS,1.4217479880821833
2017-10-12,AXISBANK.NS,1.3891575660253939
2017-10-13,AXISBANK.NS,1.4326264268383284
2017-10-16,AXISBANK.NS,1.4118217430080482
2017-10-17,AXISBANK.NS,1.4626926527996824
2017-10-18,AXISBANK.NS,1.4804665838826385
2017-10-19,AXISBANK.NS,2.9304073539887896
2017-10-23,AXISBANK.NS,2.807581246783087
2017-10-24,AXISBANK.NS,2.7516529006145523
2017-10-25,AXISBANK.NS,2.628367069820714
2017-10-26,AXISBANK.NS,2.7877136534983835
2017-10-27,AXISBANK.NS,2.7290282999053344
2017-10-30,AXISBANK.NS,2.6063485025635895
2017-10-31,AXISBANK.NS,2.4942350561443134
2017-11-01,AXISBANK.NS,3.1935708087463435
2017-11-02,AXISBANK.NS,3.0966159880773283
2017-11-03,AXISBANK.NS,2.9560293490266494
2017-11-06,AXISBANK.NS,2.8427499467645667
2017-11-07,AXISBANK.NS,2.7293666989202476
2017-11-08,AXISBANK.NS,2.6356042996873335
2017-11-09,AXISBANK.NS,2.6623071381905294
2017-11-10,AXISBANK.NS,2.554883432223214
2017-11-13,AXISBANK.NS,2.449553250940636
2017-11-14,AXISBANK.NS,2.376287975649669
2017-11-15,AXISBANK.NS,2.307001694007263
2017-11-16,AXISBANK.NS,2.219927952981263
2017-11-17,AXISBANK.NS,2.1289288343270383
2017-11-20,AXISBANK.NS,2.0443392644830265
2017-11-21,AXISBANK.NS,1.967977114040508
2017-11-22,AXISBANK.NS,1.8946987629407723
2017-11-23,AXISBANK.NS,1.8563203038762899
2017-11-24,AXISBANK.NS,1.7965280908636945
2017-11-27,AXISBANK.NS,1.7350643480133932
2017-11-28,AXISBANK.NS,1.798938625659935
