Date,Year,Stock,open,high,low,close,Return,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,SECTOR,PE_Ratio,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2024-02-28,2024,ONGC.NS,243.2358939,243.506145,238.3711816,239.4071808,-0.01336564809,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-02-29,2024,ONGC.NS,238.7315598,239.947745,235.5785015,238.3712158,-0.004327209244,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-01,2024,ONGC.NS,240.0828716,245.8935187,240.0828716,243.7313995,0.02248670712,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-04,2024,ONGC.NS,245.7133396,252.7401445,245.4881211,251.5239868,0.03197202861,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-05,2024,ONGC.NS,252.2446784,256.7040149,249.2267455,255.6229553,0.01629653123,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-06,2024,ONGC.NS,256.118407,256.118407,246.4340138,252.4698792,-0.01233487097,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-07,2024,ONGC.NS,252.4698779,256.1634659,249.7672565,250.5330048,-0.007671704823,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-11,2024,ONGC.NS,250.53302,252.6951117,246.1187437,246.8394318,-0.01474285993,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-12,2024,ONGC.NS,246.8394343,248.280838,242.3800978,243.596283,-0.01313869822,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-13,2024,ONGC.NS,243.9566155,244.1368013,227.6958543,230.0381317,-0.0556582846,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-14,2024,ONGC.NS,227.4706505,238.1460113,226.2995118,237.1550446,0.0309379701,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-15,2024,ONGC.NS,237.7856597,239.9927841,224.227492,233.1011047,-0.01709404844,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-18,2024,ONGC.NS,233.2812994,236.9748602,232.020054,235.6686096,0.01101455476,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-19,2024,ONGC.NS,236.0289318,237.7856467,231.2092516,233.5515289,-0.008983295195,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-20,2024,ONGC.NS,233.7317024,238.3711967,231.7047365,237.6955414,0.01774346103,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-21,2024,ONGC.NS,238.4613101,240.4882761,236.3442511,236.8847809,-0.003410920093,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-22,2024,ONGC.NS,236.8847934,238.9567923,232.830861,237.1550446,0.001140907706,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-26,2024,ONGC.NS,235.713637,241.3440986,233.596578,239.1820068,0.008546992049,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-27,2024,ONGC.NS,238.7315662,241.6143734,233.9118856,235.8037262,-0.01412430928,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-03-28,2024,ONGC.NS,236.434361,244.1368217,235.9839241,241.4792328,0.02406877399,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-04-01,2024,ONGC.NS,241.4792063,244.5872318,241.2539878,243.1458282,0.006901609881,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-04-02,2024,ONGC.NS,243.3260218,246.8844568,242.7404593,245.4881134,0.009633252494,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-04-03,2024,ONGC.NS,247.7853092,251.3437714,246.7042772,248.0555878,0.01045865044,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-04-04,2024,ONGC.NS,251.028495,251.028495,239.0468837,242.3350677,-0.02306144389,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-04-05,2024,ONGC.NS,241.299052,244.9475799,240.0828669,241.3891449,-0.003903367599,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
2024-04-08,2024,ONGC.NS,241.028787,245.0376866,240.1729733,243.596283,0.009143485149,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,ENERGY,9.45,0.8,14.86,43.8,10.85
